Observation,Model,Baseline
1.0,1.09,1.57
2.0,1.09,1.43
3.0,1.03,1.43
4.0,1.01,1.59
5.0,1.21,1.51
6.0,1.02,1.6
7.0,1.1,1.48
8.0,0.98,1.53
9.0,1.06,1.59
10.0,1.19,1.46
