Observation,Model,Baseline
1.0,1.09,1.51
2.0,0.99,1.56
3.0,1.02,1.45
4.0,1.01,1.52
5.0,0.95,1.45
6.0,1.06,1.48
7.0,1.07,1.52
8.0,1.01,1.43
9.0,1.08,1.58
10.0,1.02,1.46
