Observation,Model,Baseline
1.0,1.04,1.58
2.0,1.09,1.45
3.0,1.08,1.49
4.0,1.19,1.51
5.0,1.13,1.48
6.0,1.32,1.56
7.0,1.14,1.52
8.0,1.19,1.53
9.0,1.13,1.63
10.0,1.19,1.47
