Observation,Model,Baseline
1.0,1.07,1.53
2.0,1.1,1.47
3.0,1.06,1.47
4.0,1.11,1.53
5.0,1.04,1.47
6.0,1.12,1.6
7.0,1.05,1.52
8.0,1.07,1.54
9.0,1.15,1.58
10.0,1.07,1.48
