Observation,Model,Baseline
1.0,1.06,1.49
2.0,1.02,1.49
3.0,1.12,1.36
4.0,1.02,1.56
5.0,1.0,1.44
6.0,1.03,1.56
7.0,1.06,1.5
8.0,1.07,1.5
9.0,1.04,1.5
10.0,1.13,1.5
