Observation,Model,Baseline
1.0,0.97,1.54
2.0,1.06,1.49
3.0,0.97,1.51
4.0,0.99,1.51
5.0,1.01,1.5
6.0,1.09,1.54
7.0,1.03,1.53
8.0,0.93,1.48
9.0,1.0,1.46
10.0,1.0,1.62
