Observation,Model,Baseline
1.0,1.08,1.4
2.0,0.99,1.55
3.0,0.98,1.52
4.0,1.0,1.53
5.0,1.02,1.5
6.0,1.02,1.51
7.0,1.06,1.61
8.0,1.02,1.53
9.0,1.07,1.62
10.0,1.04,1.4
