Observation,Model,Baseline
1.0,1.19,1.49
2.0,1.14,1.52
3.0,1.2,1.52
4.0,1.24,1.53
5.0,1.09,1.49
6.0,1.17,1.55
7.0,1.18,1.54
8.0,1.12,1.46
9.0,1.16,1.52
10.0,1.21,1.54
