Observation,Model,Baseline
1.0,1.14,1.55
2.0,1.19,1.58
3.0,1.19,1.44
4.0,1.06,1.53
5.0,1.06,1.55
6.0,1.05,1.51
7.0,1.07,1.5
8.0,1.03,1.41
9.0,1.24,1.58
10.0,1.02,1.61
