Observation,Model,Baseline
1.0,1.03,1.53
2.0,1.0,1.47
3.0,1.02,1.43
4.0,1.12,1.54
5.0,1.0,1.58
6.0,1.07,1.53
7.0,1.06,1.44
8.0,1.14,1.55
9.0,0.96,1.4
10.0,1.17,1.53
