Observation,Model,Baseline
1.0,1.02,1.56
2.0,1.0,1.43
3.0,1.01,1.54
4.0,1.04,1.5
5.0,0.99,1.54
6.0,1.02,1.61
7.0,1.08,1.52
8.0,1.04,1.44
9.0,1.08,1.55
10.0,1.09,1.4
