UserId,Model,Baseline
832.0,0.92,1.32
833.0,1.46,1.58
834.0,1.04,1.7
835.0,0.75,1.61
836.0,1.16,1.58
837.0,1.52,1.63
838.0,0.72,1.43
839.0,1.33,1.37
840.0,0.83,1.55
841.0,0.84,1.48
842.0,1.22,2.0
843.0,1.53,1.38
844.0,0.98,1.3
845.0,1.55,1.19
846.0,0.98,1.67
847.0,1.29,1.41
848.0,0.89,1.77
849.0,0.96,1.22
850.0,1.04,2.08
851.0,1.06,1.5
852.0,0.88,1.29
853.0,1.34,1.22
854.0,1.33,1.33
855.0,1.43,1.43
856.0,1.12,2.04
857.0,1.41,1.59
858.0,1.29,1.29
859.0,1.1,1.33
860.0,1.2,1.28
861.0,0.84,1.47
862.0,0.72,1.58
863.0,1.6,1.6
864.0,0.86,1.54
865.0,2.08,1.68
866.0,1.75,1.5
867.0,0.83,1.78
868.0,1.53,1.6
869.0,1.57,1.55
870.0,1.07,1.44
871.0,1.23,1.37
872.0,1.13,1.38
873.0,1.25,1.4
874.0,0.88,1.24
875.0,0.67,1.47
876.0,0.57,1.38
877.0,0.86,1.28
878.0,1.33,1.38
879.0,0.93,1.41
880.0,1.0,1.38
881.0,1.15,1.46
882.0,0.79,1.56
883.0,0.94,1.63
884.0,1.44,1.65
885.0,1.14,1.53
886.0,1.14,1.41
887.0,1.11,1.63
888.0,0.8,2.0
889.0,1.05,1.5
890.0,0.97,1.63
891.0,0.87,1.68
892.0,0.78,1.5
893.0,1.05,1.37
894.0,0.96,1.39
895.0,0.8,1.25
896.0,1.47,1.58
897.0,0.88,1.57
898.0,1.03,1.5
899.0,1.1,1.5
900.0,1.71,1.36
901.0,0.9,1.54
902.0,1.22,1.39
903.0,1.01,1.51
904.0,0.81,1.51
905.0,1.05,1.35
906.0,0.98,1.15
907.0,0.7,1.84
908.0,0.8,1.36
909.0,0.77,2.0
910.0,1.28,1.43
911.0,0.97,1.49
912.0,0.87,1.57
913.0,1.17,1.39
914.0,1.65,1.74
915.0,1.08,1.04
916.0,1.09,1.39
917.0,1.14,1.26
918.0,1.18,1.48
919.0,1.1,1.42
920.0,1.19,1.38
921.0,1.07,1.63
922.0,0.99,1.46
923.0,0.69,1.62
924.0,0.87,1.59
925.0,1.03,1.09
926.0,1.3,1.25
927.0,0.98,1.67
928.0,0.94,2.25
929.0,0.9,1.71
930.0,1.41,1.46
931.0,0.95,1.28
932.0,0.88,1.54
933.0,1.66,1.54
934.0,0.95,1.57
935.0,0.87,1.23
936.0,0.89,1.39
937.0,1.23,1.4
938.0,1.28,1.34
939.0,0.9,1.71
940.0,1.12,1.3
941.0,0.82,1.45
942.0,0.71,1.53
943.0,1.16,1.48
