Observation,Model,Baseline
1.0,1.05,1.46
2.0,1.01,1.42
3.0,1.11,1.51
4.0,1.06,1.52
5.0,1.02,1.42
6.0,1.06,1.52
7.0,1.11,1.53
8.0,1.04,1.47
9.0,1.05,1.5
10.0,1.01,1.54
