Observation,Model,Baseline
1.0,1.18,1.46
2.0,1.04,1.4
3.0,1.11,1.42
4.0,1.04,1.54
5.0,1.0,1.42
6.0,1.04,1.48
7.0,1.06,1.53
8.0,1.07,1.57
9.0,1.04,1.47
10.0,1.13,1.55
