Observation,Model,Baseline
1.0,1.01,1.47
2.0,1.02,1.51
3.0,1.0,1.4
4.0,1.03,1.51
5.0,0.99,1.52
6.0,1.07,1.58
7.0,1.05,1.54
8.0,1.01,1.53
9.0,1.1,1.38
10.0,1.03,1.45
