Observation,Model,Baseline
1.0,0.97,1.49
2.0,1.02,1.53
3.0,0.99,1.49
4.0,1.02,1.54
5.0,0.99,1.36
6.0,1.08,1.48
7.0,1.05,1.56
8.0,1.01,1.55
9.0,1.1,1.58
10.0,1.03,1.49
